Id	Label	nodes	pageranks	componentnumber	Degree	Weighted Degree	eigencentrality	clustering	triangles
Cap	Caparros	Caparros	0.078147	0	9	0.49	0.497164	0.6	6
Pau	Pauls	Pauls	0.137066	0	19	1.086	1	0.8	12
Mor	Moreno	Moreno	0.013301	1	0	0	0	0	0
Gue	Guebel	Guebel	0.128172	0	18	1.004	0.93761	0.8	12
Ch	Chejfec	Chejfec	0.130577	0	18	1.028	0.952978	0.8	12
Bri	Briante	Briante	0.013301	2	0	0	0	0	0
Biz	Bizzio	Bizzio	0.070768	0	9	0.514	0.518447	0.9	9
Mont	Montaldo	Montaldo	0.013301	3	0	0	0	0	0
Spe	Speranza	Speranza	0.013301	4	0	0	0	0	0
Dor	Dorio	Dorio	0.021163	0	1	0.058	0.033471	0	0
Iba	Ibarlucia	Ibarlucia	0.013301	5	0	0	0	0	0
Sam	Samoilovich	Samoilovich	0.013301	6	0	0	0	0	0
Mar	Martinez	Martinez	0.013301	7	0	0	0	0	0
Forn	Forn	Forn	0.013301	8	0	0	0	0	0
Ipa	Iparraguirre	Iparraguirre	0.013301	9	0	0	0	0	0
May	Mayer	Mayer	0.013301	10	0	0	0	0	0
Lin	Link	Link	0.013301	11	0	0	0	0	0
Fei	Feiling	Feiling	0.013301	12	0	0	0	0	0
San	Sanchez	Sanchez	0.042376	0	4	0.264	0.227833	1	6
War	Warley	Warley	0.013301	13	0	0	0	0	0
Fre	Fres�n	Fres�n	0.013301	14	0	0	0	0	0
Fig	Figueras	Figueras	0.013301	15	0	0	0	0	0
Gil	Gilman	Gilman	0.013301	16	0	0	0	0	0
Mart	Martoccia	Martoccia	0.013301	17	0	0	0	0	0
Coh	Cohen	Cohen	0.013301	18	0	0	0	0	0
Lib	Libertella	Libertella	0.013301	19	0	0	0	0	0
Carr	Carrera	Carrera	0.013301	20	0	0	0	0	0
Gram	Gramuglio	Gramuglio	0.013301	21	0	0	0	0	0
Sar	Sarlo	Sarlo	0.013301	22	0	0	0	0	0
Chit	Chitarroni	Chitarroni	0.099107	0	14	0.764	0.811161	0.9	9
