Id	Label	nodes	pageranks	Degree	clustering	triangles	eigencentrality	Weighted Degree
Cap	Caparros	Caparros	0.102751	62	0.604396	55	1	3.744
Pau	Pauls	Pauls	0.095105	57	0.679487	53	0.954032	3.52
Mor	Moreno	Moreno	0.00758	0	0	0	0	0
Gue	Guebel	Guebel	0.098195	59	0.679487	53	0.977171	3.635
Ch	Chejfec	Chejfec	0.100445	60	0.615385	56	0.966718	3.639
Bri	Briante	Briante	0.00758	0	0	0	0	0
Biz	Bizzio	Bizzio	0.070551	43	0.666667	52	0.73439	2.502
Mont	Montaldo	Montaldo	0.028351	14	0.733333	33	0.221753	0.713
Spe	Speranza	Speranza	0.00758	0	0	0	0	0
Dor	Dorio	Dorio	0.056806	32	1	28	0.592489	2.095
Iba	Ibarlucia	Ibarlucia	0.055431	31	1	28	0.572367	2.037
Sam	Samoilovich	Samoilovich	0.055431	31	1	28	0.572367	2.037
Mar	Martinez	Martinez	0.00758	0	0	0	0	0
Forn	Forn	Forn	0.02724	13	0.888889	32	0.221546	0.754
Ipa	Iparraguirre	Iparraguirre	0.014738	5	1	10	0.090167	0.29
May	Mayer	Mayer	0.008414	1	0	0	0.020399	0.033
Lin	Link	Link	0.013427	4	1	6	0.060131	0.2
Fei	Feiling	Feiling	0.018199	7	0.9	9	0.105706	0.35
San	Sanchez	Sanchez	0.037208	19	0.861111	31	0.340428	1.158
War	Warley	Warley	0.013952	4	1	6	0.071581	0.264
Fre	Fresan	Fresan	0.00758	0	0	0	0	0
Fig	Figueras	Figueras	0.00758	0	0	0	0	0
Gil	Gilman	Gilman	0.00758	0	0	0	0	0
Mart	Martoccia	Martoccia	0.00758	0	0	0	0	0
Coh	Cohen	Cohen	0.00758	0	0	0	0	0
Lib	Libertella	Libertella	0.00758	0	0	0	0	0
Carr	Carrera	Carrera	0.0103	3	1	3	0.047284	0.099
Gram	Gramuglio	Gramuglio	0.00758	0	0	0	0	0
Sar	Sarlo	Sarlo	0.00758	0	0	0	0	0
Chit	Chitarroni	Chitarroni	0.102489	59	0.514286	54	0.931755	3.448
