Id,Label,nodes,pageranks,Degree,Weighted Degree,eigencentrality,clustering,triangles
Cap,Caparros,Caparros,0.042867,16,1.875,0.324753,0.727273,40
Pau,Pauls,Pauls,0.094471,39,4.825,0.830703,0.67619,71
Mor,Moreno,Moreno,0.007271,0,0,0,0,0
Gue,Guebel,Guebel,0.115187,47,5.862,0.96606,0.566176,77
Ch,Chejfec,Chejfec,0.071969,31,3.51,0.659451,0.647619,68
Bri,Briante,Briante,0.007271,0,0,0,0,0
Biz,Bizzio,Bizzio,0.083083,33,4.232,0.765823,0.679487,53
Mont,Montaldo,Montaldo,0.023933,9,0.9,0.175895,1,36
Spe,Speranza,Speranza,0.007271,0,0,0,0,0
Dor,Dorio,Dorio,0.022388,8,0.8,0.161523,1,28
Iba,Ibarlucia,Ibarlucia,0.022388,8,0.8,0.161523,1,28
Sam,Samoilovich,Samoilovich,0.022388,8,0.8,0.161523,1,28
Mar,Martinez,Martinez,0.007271,0,0,0,0,0
Forn,Forn,Forn,0.049941,20,2.288,0.409317,0.772727,51
Ipa,Iparraguirre,Iparraguirre,0.007271,0,0,0,0,0
May,Mayer,Mayer,0.007271,0,0,0,0,0
Lin,Link,Link,0.007271,0,0,0,0,0
Fei,Feiling,Feiling,0.078331,30,3.948,0.669592,0.717949,56
San,Sanchez,Sanchez,0.019027,5,0.623,0.104393,0.8,8
War,Warley,Warley,0.007271,0,0,0,0,0
Fre,Fresan,Fresan,0.049941,20,2.288,0.409317,0.772727,51
Fig,Figueras,Figueras,0.023197,7,0.924,0.167064,1,21
Gil,Gilman,Gilman,0.023933,9,0.9,0.175895,1,36
Mart,Martoccia,Martoccia,0.023933,9,0.9,0.175895,1,36
Coh,Cohen,Cohen,0.017726,5,0.548,0.091661,0.8,8
Lib,Libertella,Libertella,0.015447,4,0.464,0.092322,1,6
Carr,Carrera,Carrera,0.007271,0,0,0,0,0
Gram,Gramuglio,Gramuglio,0.007271,0,0,0,0,0
Sar,Sarlo,Sarlo,0.007271,0,0,0,0,0
Chit,Chitarroni,Chitarroni,0.119865,50,6.101,1,0.529412,81
