Id;Label;timeset;nodes;pageranks;splitter_z_value;isometric_z_value;Degree;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;clustering;triangles
Gue;Guebel;;Guebel;138320;0;0;10;605;2;8;875;4607143;733333;11
Ch;Chejfec;;Chejfec;118528;0;0;8;448;2;888889;9375;12;52381;11
Pau;Pauls;;Pauls;97318;0;0;7;406;2;727273;8125;0;1;10
Chit;Chitarroni;;Chitarroni;96409;0;0;7;406;2;8;875;1392857;733333;11
Biz;Bizzio;;Bizzio;62711;0;0;4;257;3;5;583333;0;1;1
Spe;Speranza;;Speranza;72502;0;0;5;29;2;727273;8125;0;1;10
Coh;Cohen;;Cohen;72502;0;0;5;29;2;727273;8125;0;1;10
Mor;Moreno;;Moreno;41072;0;0;2;1;3;533333;604167;0;1;1
Lin;Link;;Link;41072;0;0;2;1;3;533333;604167;0;1;1
Cap;Caparros;;Caparros;1236;0;0;0;0;0;0;0;0;0;0
Bri;Briante;;Briante;1236;0;0;0;0;0;0;0;0;0;0
Mont;Montaldo;;Montaldo;1236;0;0;0;0;0;0;0;0;0;0
Dor;Dorio;;Dorio;1236;0;0;0;0;0;0;0;0;0;0
Iba;Ibarlucia;;Ibarlucia;1236;0;0;0;0;0;0;0;0;0;0
Sam;Samoilovich;;Samoilovich;1236;0;0;0;0;0;0;0;0;0;0
Mar;Martinez;;Martinez;1236;0;0;0;0;0;0;0;0;0;0
Forn;Forn;;Forn;1236;0;0;0;0;0;0;0;0;0;0
Ipa;Iparraguirre;;Iparraguirre;1236;0;0;0;0;0;0;0;0;0;0
May;Mayer;;Mayer;1236;0;0;0;0;0;0;0;0;0;0
Fei;Feiling;;Feiling;1236;0;0;0;0;0;0;0;0;0;0
San;Sanchez;;Sanchez;1236;0;0;0;0;0;0;0;0;0;0
War;Warley;;Warley;1236;0;0;0;0;0;0;0;0;0;0
Fre;Fresan;;Fresan;1236;0;0;0;0;0;0;0;0;0;0
Fig;Figueras;;Figueras;1236;0;0;0;0;0;0;0;0;0;0
Gil;Gilman;;Gilman;1236;0;0;0;0;0;0;0;0;0;0
Mart;Martoccia;;Martoccia;1236;0;0;0;0;0;0;0;0;0;0
Lib;Libertella;;Libertella;1236;0;0;0;0;0;0;0;0;0;0
Carr;Carrera;;Carrera;1236;0;0;0;0;0;0;0;0;0;0
Gram;Gramuglio;;Gramuglio;1236;0;0;0;0;0;0;0;0;0;0
Sar;Sarlo;;Sarlo;1236;0;0;0;0;0;0;0;0;0;0
