id,source,target,type,weight,relations,year
84,Biz,Dor,Undirected,0.05,Pol,1988
85,Biz,Cap,Undirected,0.05,Pol,1988
86,Dor,Cap,Undirected,0.05,Pol,1988
87,Gue,Chit,Undirected,0.083,B,1988
88,Gue,Sam,Undirected,0.083,B,1988
89,Gue,Iba,Undirected,0.083,B,1988
90,Gue,Ch,Undirected,0.083,B,1988
91,Gue,Dor,Undirected,0.083,B,1988
92,Ch,Cap,Undirected,0.05,Pol,1988
93,Gue,Pau,Undirected,0.083,B,1988
94,Ch,Dor,Undirected,0.05,Pol,1988
95,Iba,Ch,Undirected,0.05,Pol,1988
96,Sam,Cap,Undirected,0.05,Pol,1988
97,Sam,Dor,Undirected,0.05,Pol,1988
98,Sam,Biz,Undirected,0.05,Pol,1988
99,Sam,Ch,Undirected,0.05,Pol,1988
100,Iba,Cap,Undirected,0.05,Pol,1988
101,Iba,Dor,Undirected,0.05,Pol,1988
102,Iba,Biz,Undirected,0.05,Pol,1988
103,Gue,Cap,Undirected,0.083,B,1988
104,Iba,Sam,Undirected,0.05,Pol,1988
105,Pau,Cap,Undirected,0.05,Pol,1988
106,Pau,Dor,Undirected,0.05,Pol,1988
107,Ch,Biz,Undirected,0.05,Pol,1988
108,Chit,Pau,Undirected,0.083,B,1988
109,Pau,Cap,Undirected,0.083,B,1988
110,Chit,Sam,Undirected,0.083,B,1988
111,Pau,Biz,Undirected,0.05,Pol,1988
112,Carr,Cap,Undirected,0.033,Cur,1988
113,Chit,Cap,Undirected,0.033,Cur,1988
114,Chit,Carr,Undirected,0.033,Cur,1988
115,Mont,Cap,Undirected,0.033,Cur,1988
116,Mont,Carr,Undirected,0.033,Cur,1988
117,Mont,Chit,Undirected,0.033,Cur,1988
118,Dor,Cap,Undirected,0.083,B,1988
119,Ch,Cap,Undirected,0.083,B,1988
120,Ch,Dor,Undirected,0.083,B,1988
121,Sam,Cap,Undirected,0.083,B,1988
122,Chit,Iba,Undirected,0.083,B,1988
123,Sam,Dor,Undirected,0.083,B,1988
124,Iba,Cap,Undirected,0.083,B,1988
125,Iba,Dor,Undirected,0.083,B,1988
126,Iba,Ch,Undirected,0.083,B,1988
127,Iba,Sam,Undirected,0.083,B,1988
128,Pau,Dor,Undirected,0.083,B,1988
129,Pau,Ch,Undirected,0.083,B,1988
130,Pau,Sam,Undirected,0.083,B,1988
131,Pau,Iba,Undirected,0.083,B,1988
132,Chit,Cap,Undirected,0.083,B,1988
133,Chit,Dor,Undirected,0.083,B,1988
134,Chit,Ch,Undirected,0.083,B,1988
135,Sam,Ch,Undirected,0.083,B,1988
136,Pau,Ch,Undirected,0.05,Pol,1988
137,Gue,Cap,Undirected,0.05,Pol,1988
138,Pau,Iba,Undirected,0.05,Pol,1988
139,Iba,Ch,Undirected,0.066,Ent,1988
140,Iba,Sam,Undirected,0.066,Ent,1988
141,Pau,Cap,Undirected,0.066,Ent,1988
142,Pau,Dor,Undirected,0.066,Ent,1988
143,Pau,Ch,Undirected,0.066,Ent,1988
144,Pau,Sam,Undirected,0.066,Ent,1988
145,Pau,Iba,Undirected,0.066,Ent,1988
146,Chit,Cap,Undirected,0.066,Ent,1988
147,Chit,Dor,Undirected,0.066,Ent,1988
148,Chit,Biz,Undirected,0.066,Ent,1988
149,Chit,Ch,Undirected,0.066,Ent,1988
150,Chit,Sam,Undirected,0.066,Ent,1988
151,Chit,Iba,Undirected,0.066,Ent,1988
152,Chit,Pau,Undirected,0.066,Ent,1988
153,Gue,Cap,Undirected,0.066,Ent,1988
154,Gue,Dor,Undirected,0.066,Ent,1988
155,Gue,Biz,Undirected,0.066,Ent,1988
156,Gue,Ch,Undirected,0.066,Ent,1988
157,Gue,Sam,Undirected,0.066,Ent,1988
158,Gue,Iba,Undirected,0.066,Ent,1988
159,Gue,Pau,Undirected,0.066,Ent,1988
160,Gue,Chit,Undirected,0.066,Ent,1988
161,Pau,Sam,Undirected,0.05,Pol,1988
162,Iba,Biz,Undirected,0.066,Ent,1988
163,Iba,Dor,Undirected,0.066,Ent,1988
164,Pau,Biz,Undirected,0.066,Ent,1988
165,Sam,Ch,Undirected,0.066,Ent,1988
166,Chit,Cap,Undirected,0.05,Pol,1988
167,Chit,Dor,Undirected,0.05,Pol,1988
168,Chit,Biz,Undirected,0.05,Pol,1988
169,Chit,Ch,Undirected,0.05,Pol,1988
170,Chit,Sam,Undirected,0.05,Pol,1988
171,Iba,Cap,Undirected,0.066,Ent,1988
172,Chit,Pau,Undirected,0.05,Pol,1988
173,Gue,Dor,Undirected,0.05,Pol,1988
174,Gue,Biz,Undirected,0.05,Pol,1988
175,Gue,Ch,Undirected,0.05,Pol,1988
176,Gue,Sam,Undirected,0.05,Pol,1988
177,Gue,Iba,Undirected,0.05,Pol,1988
178,Chit,Iba,Undirected,0.05,Pol,1988
179,Gue,Chit,Undirected,0.05,Pol,1988
180,Gue,Pau,Undirected,0.05,Pol,1988
181,Sam,Dor,Undirected,0.066,Ent,1988
182,Sam,Cap,Undirected,0.066,Ent,1988
183,Ch,Dor,Undirected,0.066,Ent,1988
184,Ch,Biz,Undirected,0.066,Ent,1988
185,Biz,Dor,Undirected,0.066,Ent,1988
186,Biz,Cap,Undirected,0.066,Ent,1988
187,Dor,Cap,Undirected,0.066,Ent,1988
188,Ch,Cap,Undirected,0.066,Ent,1988
189,Sam,Biz,Undirected,0.066,Ent,1988
190,Ch,Biz,Undirected,0.05,Rev,1989
191,Ch,Lin,Undirected,0.05,Rev,1989
192,Chit,Biz,Undirected,0.05,Rev,1989
193,Fei,Chit,Undirected,0.05,Rev,1989
194,Fei,Lin,Undirected,0.05,Rev,1989
195,Fei,Biz,Undirected,0.05,Rev,1989
196,Chit,Lin,Undirected,0.05,Rev,1989
197,Fei,Mont,Undirected,0.05,Rev,1989
198,Fei,Chit,Undirected,0.05,Rev,1989
199,Fei,Ch,Undirected,0.05,Rev,1989
200,Chit,Ch,Undirected,0.05,Rev,1989
201,Chit,Mont,Undirected,0.05,Rev,1989
202,Ch,Chit,Undirected,0.05,Rev,1989
203,Ch,Mont,Undirected,0.05,Rev,1989
204,Lin,Biz,Undirected,0.05,Rev,1989
205,Ch,Fei,Undirected,0.05,Rev,1989
206,Gue,Pau,Undirected,0.058,Mes,1989
207,Ipa,Ch,Undirected,0.058,Mes,1989
208,Chit,May,Undirected,0.033,Cur,1989
209,Cap,Gue,Undirected,0.058,Mes,1989
210,Cap,Forn,Undirected,0.058,Mes,1989
211,Cap,Pau,Undirected,0.058,Mes,1989
212,Cap,Ch,Undirected,0.058,Mes,1989
213,Gue,Forn,Undirected,0.058,Mes,1989
214,Cap,Ipa,Undirected,0.058,Mes,1989
215,Gue,Ch,Undirected,0.058,Mes,1989
216,Forn,Pau,Undirected,0.058,Mes,1989
217,Forn,Ipa,Undirected,0.058,Mes,1989
218,Forn,Ch,Undirected,0.058,Mes,1989
219,Pau,Ipa,Undirected,0.058,Mes,1989
220,Pau,Ch,Undirected,0.058,Mes,1989
221,Gue,Ipa,Undirected,0.058,Mes,1989
222,Pau,Cap,Undirected,0.05,Pol,1990
223,Ch,Gue,Undirected,0.05,Pol,1990
224,Chit,Cap,Undirected,0.05,Pol,1990
225,Chit,Gue,Undirected,0.05,Pol,1990
226,Chit,Ch,Undirected,0.05,Pol,1990
227,Pau,Gue,Undirected,0.05,Pol,1990
228,Biz,Ch,Undirected,0.05,Bec,1990
229,Pau,Chit,Undirected,0.05,Pol,1990
230,Ch,Pau,Undirected,0.05,Bec,1990
231,Cap,Pau,Undirected,0.05,Bec,1990
232,Cap,Ch,Undirected,0.05,Bec,1990
233,Biz,Pau,Undirected,0.05,Bec,1990
234,Ch,Cap,Undirected,0.05,Pol,1990
235,Biz,Cap,Undirected,0.05,Bec,1990
236,Pau,Ch,Undirected,0.05,Pol,1990
237,Gue,Cap,Undirected,0.05,Pol,1990
238,War,Pau,Undirected,0.066,Ent,1990
239,Pau,Gue,Undirected,0.066,Cri,1990
240,Pau,San,Undirected,0.058,Mes,1990
241,Gue,San,Undirected,0.066,Ent,1990
242,Cap,San,Undirected,0.066,Ent,1990
243,Cap,Gue,Undirected,0.066,Ent,1990
244,Pau,San,Undirected,0.066,Ent,1990
245,Pau,Gue,Undirected,0.066,Ent,1990
246,Pau,Ch,Undirected,0.066,Cri,1990
247,Pau,Cap,Undirected,0.066,Ent,1990
248,War,Gue,Undirected,0.066,Ent,1990
249,War,Cap,Undirected,0.066,Ent,1990
250,Gue,San,Undirected,0.066,Cri,1990
251,Ch,San,Undirected,0.066,Cri,1990
252,Ch,Gue,Undirected,0.066,Cri,1990
253,Pau,San,Undirected,0.066,Cri,1990
254,War,San,Undirected,0.066,Ent,1990
255,Mont,San,Undirected,0.058,Mes,1990
256,Gue,Pau,Undirected,0.058,Mes,1990
257,Gue,San,Undirected,0.058,Mes,1990
258,Biz,Pau,Undirected,0.058,Mes,1990
259,Biz,Mont,Undirected,0.058,Mes,1990
260,Biz,Gue,Undirected,0.058,Mes,1990
261,Biz,Forn,Undirected,0.058,Mes,1990
262,Biz,Ch,Undirected,0.058,Mes,1990
263,Biz,Cap,Undirected,0.058,Mes,1990
264,Biz,San,Undirected,0.058,Mes,1990
265,Chit,San,Undirected,0.058,Mes,1990
266,Chit,Mont,Undirected,0.058,Mes,1990
267,Chit,Gue,Undirected,0.058,Mes,1990
268,Chit,Forn,Undirected,0.058,Mes,1990
269,Chit,Cap,Undirected,0.058,Mes,1990
270,Chit,Biz,Undirected,0.058,Mes,1990
271,Chit,Gue,Undirected,0.033,Cur,1990
272,Chit,Pau,Undirected,0.058,Mes,1990
273,Cap,Ch,Undirected,0.058,Mes,1990
274,Chit,Ch,Undirected,0.058,Mes,1990
275,Cap,Gue,Undirected,0.058,Mes,1990
276,Mont,Pau,Undirected,0.058,Mes,1990
277,Gue,Mont,Undirected,0.058,Mes,1990
278,Forn,San,Undirected,0.058,Mes,1990
279,Forn,Pau,Undirected,0.058,Mes,1990
280,Forn,Mont,Undirected,0.058,Mes,1990
281,Ch,San,Undirected,0.058,Mes,1990
282,Forn,Gue,Undirected,0.058,Mes,1990
283,Ch,Mont,Undirected,0.058,Mes,1990
284,Ch,Gue,Undirected,0.058,Mes,1990
285,Ch,Forn,Undirected,0.058,Mes,1990
286,Cap,San,Undirected,0.058,Mes,1990
287,Cap,Pau,Undirected,0.058,Mes,1990
288,Cap,Mont,Undirected,0.058,Mes,1990
289,Ch,Pau,Undirected,0.058,Mes,1990
290,Cap,Forn,Undirected,0.058,Mes,1990
291,Chit,San,Undirected,0.058,Mes,1991
292,Gue,San,Undirected,0.058,Mes,1991
293,Biz,San,Undirected,0.058,Mes,1991
294,Biz,Gue,Undirected,0.058,Mes,1991
295,Chit,Gue,Undirected,0.058,Mes,1991
296,Cap,San,Undirected,0.058,Mes,1991
297,Cap,Gue,Undirected,0.058,Mes,1991
298,Cap,Biz,Undirected,0.058,Mes,1991
299,Cap,Chit,Undirected,0.058,Mes,1991
300,Chit,Biz,Undirected,0.058,Mes,1991
